brand_name,item_name,brand_id,item_id,upc,item_type,item_description,nf_ingredient_statement,nf_calories,nf_calories_from_fat,nf_total_fat,nf_saturated_fat,nf_trans_fatty_acid,nf_polyunsaturated_fat,nf_monounsaturated_fat,nf_cholesterol,nf_sodium,nf_total_carbohydrate,nf_dietary_fiber,nf_sugars,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_potassium,nf_servings_per_container,nf_serving_size_qty,nf_serving_size_unit,nf_serving_weight_grams,metric_qty,metric_uom,images_front_full_url,updated_at,section_ids
Similac,"Formula, Soy, for Diarrhea, Ready-to-Feed",51db37c3176fe9790a899200,51c38f5d97c3e6d3d972f08a,70074512792,2,"Soy, for Diarrhea, Ready-to-Feed","Water (85.7%), Corn Syrup (4.8%), Sugar (Sucrose) (2.6%), Soy Oil (2.1%), Soy Protein Isolate (2.0%), Coconut Oil (1.4%), Soy Fiber (.77%). Less Than .5% of: Calcium Citrate, Potassium Citrate, Calcium Phosphate, Potassium Phosphate, Potassium Chloride, Mono- and Diglycerides, Soy Lecithin, Magnesium Chloride, Carrageenan, Sodium Chloride, Ascorbic Acid, Chorine Chloride, L-Methionine, Taurine, Ferrous Sulfate, M-Inositol, Zinc Sulfate, Alpha-Tocopheryl Acetate, L-Carnitine, Niacinamide, Calcium Pantothenate, Cupric Sulfate, Thiamine Chloride Hydrochloride, Vitamin A Palmitate, Riboflavin, Pyridoxine Hydrochloride, Folic Acid, Potassium Iodide, Phylloquinone, Biotin, Sodium Selenite, Vitamin D3 and Cyanocobalamin.",100,0,null,null,null,null,null,null,null,null,null,null,3,0,0,0,0,null,null,5,fl oz,null,null,null,null,2014-11-24T20:24:24+00:00,null
Stewart's,"Premium Dark Chocolate, with Mint Cookie Crunch",51db37b1176fe9790a8984ba,556540ff5d613c9d5f5935a9,82086061441,2,null,null,280,160,18,11,0,null,null,5,60,34,3,25,3,2,0,2,10,null,1,1,bar,57,57,g,https://d1r9wva3zcpswd.cloudfront.net/5565417d5d613c9d5f5935c8.jpeg,2015-05-27T04:01:01+00:00,null
Yoplait,"Greek Yogurt, Lemon",51db37bd176fe9790a898e85,55806622970e3b40405abbc7,62100009741,2,null,null,100,0,0,0,0,null,null,2.5,80,14,0,9,10,4,10,10,null,null,null,1,container,150,150,g,https://d1r9wva3zcpswd.cloudfront.net/5580691421a6d9323385f8ef.jpeg,2015-06-16T18:21:08+00:00,null
Essential Everyday,Blended Strawberry Lowfat Yogurt,51db37b0176fe9790a8983ec,528f56608c43e6311f002172,41303026434,2,null,null,240,20,2.5,1.5,0,null,null,10,130,45,0,39,10,20,4,30,0,null,4,1,cup,227,227,g,https://d1r9wva3zcpswd.cloudfront.net/536ac3db29a0839e7408f1cb.jpeg,2014-11-24T20:24:24+00:00,null
Lancaster,"Soft Cremes, Butterscotch & Caramel",51db37b7176fe9790a8989d4,5568a873dab661451562e70f,34000103799,2,null,null,180,60,7,5,0,null,null,5,140,30,0,19,1,2,0,4,0,null,5,7,pieces,42,42,g,https://d1r9wva3zcpswd.cloudfront.net/5568a8c5921e5a5715ed466b.jpeg,2015-05-29T17:58:30+00:00,null
From the Fields,"Porridge, Heirloom Rye, Rosemary Walnut Raisin",526e6739c8e1000200000016,54072cb47f1cfd9d3a07a887,855301002655,2,null,null,140,25,2.5,0,0,null,null,0,0,27,5,5,6,0,0,2,6,null,10,0.5,cup dry,40,40,g,https://d1r9wva3zcpswd.cloudfront.net/540739bda67cfab13a61ab1e.jpeg,2014-11-24T20:24:24+00:00,null
Wooden Shoe Cheese Co.,Shredded Mozzarella Cheese,54734b1cf2b4991f5f7db682,5516ac506f8a817858c21973,81401814052,2,null,null,80,50,6,3.6,null,null,null,15,190,0,0,0,7,4,0,20,0,null,null,1,oz,28,28,g,https://d1r9wva3zcpswd.cloudfront.net/5516ac3229c77c25104685c1.jpeg,2015-03-28T13:27:14+00:00,null
Don Miguel,"Burrito, Bean & Cheese",51db37b3176fe9790a898625,51c36bf997c3e69de4b07e5a,27086184035,2,Bean & Cheese,"Filling: Cooked Beans (Water & Beans), Three Cheese (Pasteurized Process American Cheese, Cheddar Cheese & Monterey Jack Cheese [Cultured Pasteurized Milk, Salt, Enzymes, Natural Vegetable Coloring [Annatto and/or Apocarotenal], Water, Sodium Citrate, Milkfat, and May Contains Calcium Chloride]), Water, Green Chilies, Bell Peppers, Contains 2% or Less of: Modified Food Starch, Flavorings Including Paprika, Salt, Dehydrated Onion, Chile Pepper (Red Chile Peppers, Citric Acid), Bell Peppers (Bell Peppers, Water, Citric Acid), Guar Gum, Crushed Red Pepper. Tortilla: Enriched Flour (Bleached Wheat Flour, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin & Folic Acid), Water, Soybean Oil, Salt, Baking Powder (Sodium Bicarbonate, Sodium Aluminum Sulfate, Corn Starch, Calcium Sulfate, Monocalcium Phosphate), Emulsifier (Sodium Stearoyl Lactylate and Guar Gum), Guar Gum, Sodium Metabisulfite (Dough Conditioner).",440,120,14,6,null,null,null,25,990,68,8,1,17,10,6,15,25,null,1,1,burrito,198,198,g,null,2014-11-24T20:24:24+00:00,null
Great Value,Red Wine Vinegar,51db37b1176fe9790a898466,51c5426a97c3e6efadd5c73d,78742230092,2,Fine Red Wine,"Red Wine Vinegar (Diluted With Water to 5% Acidity), Potassium Metabisulfite (A Preservative).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,1,tbsp,null,15,ml,https://d1r9wva3zcpswd.cloudfront.net/536020be2ae36a5775c0a4e1.jpeg,2014-11-24T20:24:24+00:00,null
Profile,Sweet Strawberry Smoothie,546a09b186f80d902a7c084f,54f5b6c66d947d10506cf2b1,811392020275,2,null,null,100,10,1,0,0,null,null,2.5,170,7,0,5,15,null,null,null,null,null,7,1,packet,27,27,g,https://d1r9wva3zcpswd.cloudfront.net/54f5b92ce8ca68af0ad74b3c.jpeg,2015-03-03T13:37:48+00:00,null
Kemps,Fat Free Skim Milk,51db37ca176fe9790a899838,54bedbdabb3b1f112145333a,41483001023,2,null,null,90,0,0,0,0,null,null,2.5,130,13,0,12,9,10,2,30,0,null,8,1,cup,null,236,ml,https://d1r9wva3zcpswd.cloudfront.net/54bedc8465ef8de319a620f7.jpeg,2015-01-20T22:53:56+00:00,null
Meijer,Balsamic Vinaigrette,51db37b0176fe9790a8983e0,54f6974937382cb131262e9f,713733440141,2,null,null,100,90,10,1.5,0,null,null,0,370,2,0,2,0,0,0,0,0,null,16,2,tbsp,null,30,ml,https://d1r9wva3zcpswd.cloudfront.net/54f697e1ca74508612a62b56.jpeg,2015-03-04T05:28:02+00:00,null
Giuseppe Alberti Grocery,Benevento Croccantino Allo Strega Chocolatey Covered Hazelnuts,52ceb423bba524e068000f0f,52a637773498622d6c00d7a1,80368045226,2,null,null,210,110,12,5,0,null,null,null,0,22,2,15,2,0,0,2,10,null,8,2,pieces,40,40,g,https://d1r9wva3zcpswd.cloudfront.net/536b98aa10870f764b177a87.jpeg,2014-11-24T20:24:24+00:00,null
Tinkyada,"Brown Rice 14 Oz, Pasta",51db37b8176fe9790a898b2c,51c543ba97c3e6efadd5d19d,30684868405,2,Pasta,"Brown Rice, Rice Bran and Water.",210,15,2,0,0,null,null,0,15,43,2,0,4,0,0,0,4,null,7,56,G,56,56,g,null,2014-11-24T20:24:24+00:00,null
Al Fresco,"Chicken Sausage Burgers, Hot Italian Style",51db37cb176fe9790a899948,5489b898cd11d26e3dc6ea0a,30771096988,2,null,null,150,80,8,2.5,0,null,null,75,530,2,null,1,17,10,2,2,6,null,4,1,patty,98,98,g,https://d1r9wva3zcpswd.cloudfront.net/5489ba45a051f633376f9372.jpeg,2014-12-11T15:37:44+00:00,null
Ecce Panis,European Baguette,51db3806176fe9790a89af26,51c3ebe397c3e6de73cba709,57522750012,2,null,"Unbleached Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Contains Less than 2% of Each of the Following: Rice Flour, Salt, Malt Syrup, Yeast, Ascorbic Acid Added as a Dough Conditioner.",180,0,0,0,0,null,null,0,450,38,2,0,6,0,0,0,10,null,6,3.5,inch slice,52,52,g,null,2014-11-24T20:24:24+00:00,null
Tostitos,"Tortilla Chips, Thick & Hearty Rounds",51db37c2176fe9790a8991d2,51c53db597c3e6efadd5a22f,28400047760,2,Thick & Hearty Rounds,"Whole Yellow Corn, Vegetable Oil (Corn, Soybean, Canola and/or Sunflower Oil), and Salt.",140,50,6,1,0,null,null,0,110,19,1,0,2,0,0,2,2,null,32,10,chips,28,28,g,null,2014-11-24T20:24:24+00:00,null
Keebler,"Simply Made Cookies, Butter",51db37b9176fe9790a898be3,51c53ecd97c3e6efadd5aa99,30100757344,2,Simply Made Butter,"Wheat Flour, Butter (Cream, Salt), Sugar, Contains Two Percent Or Less of: Natural Flavor, Salt, Vanilla Extract, Baking Soda, Eggs, Soy Lecithin.",140,60,7,4,0,null,null,15,100,18,0,6,1,4,0,0,0,null,10,2,cookies,27,27,g,https://d1r9wva3zcpswd.cloudfront.net/536aa07c29a0839e7408ebe6.jpeg,2014-11-24T20:24:24+00:00,null
Swanson,"Chicken Breast, White Premium Chunk, in Water",51db37cd176fe9790a899b9e,51c3d46997c3e6d8d3b52d54,51000183460,2,"White Premium Chunk, in Water","Cooked Chicken Breast Meat, Water, Contains Less than 2% of the Following: Modified Food Starch, Salt, Sodium Phosphates.",70,10,1,0,0,null,null,35,400,2,0,0,13,0,0,0,0,null,3,1,can,85,85,g,null,2014-11-24T20:24:24+00:00,null
Arnold,"Bread, Premium White Enriched",51db37c5176fe9790a899383,51c54cb397c3e6efadd6186a,73410003046,2,Premium White Enriched,"Unbleached Enriched Wheat Flour [Flour, Malted Barley Flour, Reduced Iron, Niacin, Thiamin Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Folic Acid], Water, Sugar, Yeast, Soybean Oil, Salt, Monoglycerides, Wheat Gluten, Calcium Propionate (Preservative), Calcium Sulfate, Datem, Natural Flavor, Soy Lecithin, Azodicarbonamide.",90,15,1,0,0,null,null,0,190,17,1,3,3,0,0,4,6,null,17,33,G,33,33,g,null,2014-11-24T20:24:24+00:00,null
Sam's Choice,All Natural Chocolate Ice Cream,51db37ca176fe9790a8997de,54bae75aa240d490731896da,78742051086,2,null,null,260,140,16,10,0,0,0,90,70,27,0,26,5,10,0,15,0,null,8,0.5,cup,104,104,g,https://d1r9wva3zcpswd.cloudfront.net/54bae79857935fd955938f0e.jpeg,2015-01-17T22:52:08+00:00,null
Great Value,Fudge Double Filled Twist & Shout Sandwich Cookies,51db37b1176fe9790a898466,52b658832dedad540e00531c,78742084749,2,null,null,140,50,6,2,0,2,1.5,0,115,21,0.5,13,1,0,0,0,10,85,15,2,cookies,29,29,g,https://d1r9wva3zcpswd.cloudfront.net/536b9584480d28113fe8d4f8.jpeg,2014-11-24T20:24:24+00:00,null
Andrew & Everett,"Shredded Cheese, Mozzarella",51db37b5176fe9790a8988ae,55108550f7dc00b47f9fe53b,827048024801,2,null,null,80,50,6,3.5,0,null,null,15,170,1,0,0,8,4,0,20,0,null,8,0.25,cup,28,28,g,https://d1r9wva3zcpswd.cloudfront.net/55108842d24470450786f8be.jpeg,2015-03-23T21:40:18+00:00,null
Zoglo's,"Hot Dogs, Savory Meatless Franks",51db380f176fe9790a89b1e0,550f88511f5f82cb1e2c2507,748458000257,2,null,null,120,70,8,1,0,null,null,0,480,7,2,0,11,0,45,4,15,null,4,2,franks,75,75,g,https://d1r9wva3zcpswd.cloudfront.net/550f88edb9e5866a18dcffa9.jpeg,2015-03-23T03:30:53+00:00,null
Kraft,"Cheese, Italian Three Cheese",51db37b4176fe9790a8987c4,51c364e297c3e69de4b04742,21000024698,2,Italian Three Cheese,"Low-Moisture Part-Skim Mozzarella Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes), Reduced Fat Provolone Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Vitamin A Palmitate, Enzymes), Calcium Sulfate, Parmesan Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes); Potato Starch, Cellulose Powder and Calcium Sulfate to Prevent Caking; Natamycin (a Natural Mold Inhibitor).",80,45,5,3,0,null,null,15,200,0,0,0,7,4,0,40,0,null,7,0.25,cup,28,28,g,null,2014-11-24T20:24:24+00:00,null
Market Day,"Mini Omelets, with Reduced Fat Cheese",51db37b2176fe9790a898573,51c3c63097c3e6d8d3b4bc8c,46025051573,2,with Reduced Fat Cheese,"Egg Patty: Egg Whites, Water, Modified Corn Starch, Vegetable Oil (Corn and/or Soybean), Natural Flavors, Guar Gum, Xanthan Gum, Color (Includes Beta-Carotene). Filling: Reduced Sodium and Reduced Fat Pasteurized Process Cheddar Cheese (Cultured Milk Powder, Water, Skim Milk, Sodium Phosphate, Whey, Salt, Annatto Color, Enzymes, Vitamin A Palmitate).",60,20,2,1,0,null,null,5,170,2,0,1,7,15,0,0,0,null,12,1,omelet,null,null,null,null,2014-11-24T20:24:24+00:00,null
Medical Weight Loss Clinic,"Fruit Drink, Mixed Berry",545a52a98c56fa54160278a6,5534fe805dee4c3e21c0636a,646049002362,2,null,null,60,0,0,0,0,null,null,0,60,1,0,0,12,0,100,0,0,null,7,1,packet,16,16,g,https://d1r9wva3zcpswd.cloudfront.net/55350002d7d27c7b74d721a3.jpeg,2015-04-20T13:32:51+00:00,null
Lowes Foods,"Shredded Cheese, Mild Cheddar",51db37b0176fe9790a8983f3,55112da3760d403b50ba3ecf,741643450622,2,null,null,110,80,9,6,0,null,null,30,180,2,0,0,7,6,0,20,0,null,12,0.25,cup,28,28,g,https://d1r9wva3zcpswd.cloudfront.net/55112e5f760d403b50ba3f05.jpeg,2015-03-24T09:29:03+00:00,null
Herr's,"Potato Chips, Fireman's, BBQ Chicken",51db37c2176fe9790a8991c3,51c53e3497c3e6efadd5a5b7,72600003255,2,"Fireman's, BBQ Chicken","Choice Potatoes Cooked in Vegetable Oil (Contains One or More of the Following: Corn, Cottonseed, Sunflower), Salt, Sugar, Vinegar Powder (Maltodextrin, Vinegar Solids, Modified Food Starch), Monosodium Glutamate, Hot Sauce [(Aged Cayenne Peppers, Vinegar, Salt, Garlic), Maltodextrin, and Silicon Dioxide], Maltodextrin, Dehydrated Garlic, Citric Acid, Chicken Flavor (Hydrolyzed Corn Gluten, Salt, Maltodextrin, Corn Oil, Sodium Phosphate, Spices, Sucrose, Natural Flavors and Disodium Inosinate and Disodium Guanylate), Oleoresin Paprika, Natural Flavors, and spice extractive.",270,140,16,4,0,null,null,0,750,30,1,1,3,6,10,0,4,null,1,1,bag,53,53,g,null,2014-11-24T20:24:24+00:00,null
Reese,"Trout, Golden Smoked Fillets 3.75 Oz",51db37b1176fe9790a8984b9,51c541e897c3e6efadd5c323,30684870811,2,Golden Smoked Fillets 3.75 Oz,"Trout, Olive Oil, Salt.",180,110,12,2,0,null,null,65,430,0,0,0,20,0,0,10,15,null,1,79,G,79,79,g,null,2014-11-24T20:24:24+00:00,null
Raisin Bran,Raisin Bran,51db37bf176fe9790a898fbf,51c3744797c3e69de4b0c580,38000219436,2,null,"Whole Wheat, Raisins, Wheat Bran, Sugar, High Fructose Corn Syrup, Salt, Malt Flavoring, Niacinamide, Reduced Iron, Zinc Oxide, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin (Vitamin B2), Thiamin Hydrochloride (Vitamin B1), Vitamin A Palmitate, Folic Acid, Vitamin B12 and Vitamin D.",140,5,1,0,0,null,null,0,150,34,5,13,3,8,0,0,20,280,1,1,box,43,43,g,https://d1r9wva3zcpswd.cloudfront.net/53d7f57770cc8fac3de0dce2.jpeg,2014-11-24T20:24:24+00:00,null
Morning Fresh Farms,"Fancy Shredded Natural Cheese, Sharp Cheddar",54982da9dffb5d754bfcc640,555f35eead9689787a893bb8,71452392319,2,null,null,80,50,6,3.5,0,null,null,20,220,1,0,0,7,6,0,20,0,null,8,0.25,cup,28,28,g,https://d1r9wva3zcpswd.cloudfront.net/555f37eac8b793e33c692609.jpeg,2015-05-22T14:06:35+00:00,null
America's Choice,Ripe Pitted Large Olives,51db37b0176fe9790a8983ea,51c4011697c3e6dfa4df3b6f,54807478326,2,null,"Ripe Olives, Water, Salt and Ferrous Gluconate (added to stabilize color).",25,20,2,null,null,null,null,0,115,0,null,null,0,0,0,0,0,null,11,15,g,15,15,g,null,2014-11-24T20:24:24+00:00,null
Safeway Kitchens,Chicken Kiev,51db37b0176fe9790a8983bf,51c366bc97c3e69de4b0548c,21130214471,2,null,"Boneless Breast of Chicken with Rib Meat, Water, Seasoning (Sugar, Salt, Dehydrated Chicken Broth, Dehydrated Garlic, Dehydrated Onion), Sodium Phosphates. Breaded with: Bleached Wheat Flour, Dextrose, Partially Hydrogenated Soybean Oil, Ground Paprika, Salt, Nonfat Dried Milk, Leavening (Sodium Acid Pyrophosphates, Sodium Bicarbonate), Mono and Diglycerides, Natural Flavor, Spice Extractives. Filled with: Unsalted Butter (Pasteurized Cream, Lactic Acid, Diacetyl), Seasoning (Salt, Dehydrated Garlic, Sugar, Dextrose, Spices, Natural Flavorings, Annatto Extract, Oleoresin Turmeric), Chives. Battered with: Water, Enriched Bleached Wheat Flour (Wheat Flour, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid), Modified Food Starch, Yellow Corn Flour, Salt, Leavening (Sodium Acid Pyrophosphates, Sodium Bicarbonate), Pre-Browned in Vegetable Oil.",360,190,21,10,null,null,null,85,610,24,1,3,20,15,0,2,8,null,14,1,package,142,142,g,null,2014-11-24T20:24:24+00:00,null
Goya,"Empanadas, Beef",51db37b1176fe9790a89843b,51d2fd24cc9bff111580e826,41331090346,2,Beef,"Filling: Beef, Water, Green Bell Peppers, Tomato Paste (Tomato, Salt, Citric Acid, Calcium Chloride), Textured Soy Flour, Dehydrated Onions, Stuffed Olives (Olives, Water, Pureed Pimentos, Salt, Lactic Acid, Sodium Alginate, Guar Gum, Calcium Chloride), Corn Oil, Vinegar, Pimientos, Dehydrated Garlic, Salt, Cilantro, Ham Flavor (Hydrolyzed Soy Protein, Torula Yeast, Salt, Onion Powder, Liquid Smoke), Spices, Annatto. Dough: Enriched Wheat Flour (Wheat Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Shortening (Made from Partially Hydrogenated Soybean Oil), Salt, Sugar, Dough Conditioner (Sodium Stearoyl Lactylate, Calcium Sulfate, L-Cysteine Hydrochloride), Annatto.",380,100,12,3,null,null,null,15,800,58,2,1,11,0,0,8,20,null,2,2,empanadas,135,135,g,null,2014-11-24T20:24:24+00:00,null
Hurricane Bay,Southwestern Marinade,51db37c1176fe9790a8990ee,51c3ef6d97c3e6de73cbbefb,55518206123,2,null,"Worcestershire, Raisin Paste, Vinegar, Honey, Habanero Peppers, Fructose, Papaya Puree, Key Lime Concentrate, Chipotle Powder, Cilantro and Spices.",47,0,0,0,0,null,null,0,47,12,0,12,0,0,1,0,2,null,12,1,fl oz,28,28,g,null,2014-11-24T20:24:24+00:00,null
Popcorn Indiana,Aged White Cheddar Popcorn,51db37e5176fe9790a89a5c7,54072c14a67cfab13a61a59c,843571004356,2,null,null,150,80,9,1,0,null,null,5,290,14,2,2,3,0,0,4,2,null,6.5,2.5,cups,28,28,g,https://d1r9wva3zcpswd.cloudfront.net/540738b97f1cfd9d3a07ad88.jpeg,2014-11-24T20:24:24+00:00,null
Midwest Country Fare,"Tomatoes, Whole Peeled",51db37b1176fe9790a898467,51c3e9ef97c3e6de73cb9a40,75450810011,2,Whole Peeled,"Tomatoes, Tomato Juice, Salt, Citric Acid, Calcium Chloride.",25,0,0,0,0,null,null,0,220,5,1,3,1,15,15,4,4,null,3.5,0.5,cup,121,121,g,null,2014-11-24T20:24:24+00:00,null
Heritage Farm,Bologna,51db37e9176fe9790a89a7e0,5538875b43a4145306cef38f,11110974495,2,null,null,150,120,13,5,0,null,null,35,470,5,0,2,4,0,0,2,2,null,8,1,slice,43,43,g,https://d1r9wva3zcpswd.cloudfront.net/5538878d2a3adc085d65465f.jpeg,2015-04-23T05:47:57+00:00,null
Hill Country Fare,Honey Sweet Corn Bread,51db37b9176fe9790a898bdc,54f49d09c33580d14fe972ce,41220277582,2,null,null,130,25,3,1,0,null,null,0,300,23,0.5,7,2,0,0,4,6,null,5,0.25,cup dry mix,33,33,g,https://d1r9wva3zcpswd.cloudfront.net/54f49dda8eb915a942c6ad94.jpeg,2015-03-02T17:28:59+00:00,null
Giant,Cheddar Cheese Twice Baked Potatoes,51db37b0176fe9790a8983ef,5485d6d0776d34ac74267064,688267056376,2,null,null,190,60,7,2.5,0,0,0.5,5,300,27,2,2,4,2,25,6,4,null,2,1,piece,140,140,g,https://d1r9wva3zcpswd.cloudfront.net/5485df5c1cd9423a0bdabe66.jpeg,2014-12-08T17:26:52+00:00,null
Spartan,Shredded Mozzarella Cheese,51db37cc176fe9790a899a4d,5539f5cbcdbef3312fd5c462,11213380735,2,null,null,90,50,6,3.5,0,null,null,15,150,1,0,0,7,4,0,20,0,null,32,0.25,cup,28,28,g,https://d1r9wva3zcpswd.cloudfront.net/5539f5785c35395e6292af47.jpeg,2015-04-24T07:49:12+00:00,null
Detour,"Energy Bar, Chocolate Peanut Butter",51db381c176fe9790a89b5ba,51d37974cc9bff5553aa9b74,733913008169,2,Chocolate Peanut Butter,"Whey Protein Crisps (Whey Protein Concentrate. Rice Flour), Caramel [Fructose, Corn Syrup Solids, Cream, Water, Inulin (Chicory Extract), Whole Milk Powder, Nonfat Dry Milk Powder, Natural Flavors, Butter, Salt, Disodium Phosphate, Lecithin], Peanuts, Inulin (Chicory Extract), Milk Chocolate Flavored Coating (Sugar, Palm Kernel Oil, Nonfat Dry Milk Solids, Cocoa Powder, Soy Lecithin, Salt, Natural Flavor), Vegetable Glycerin, Peanut Butter Drops [Sugar, Palm Kernel Oil, Partially Defatted Peanut Flour, Nonfat Dry Milk Solids, Whey Powder, Peanut Butter (Peanuts, Cottonseed and Rapeseed Oil, Dextrose, Salt and Soy Lecithin)], MicroLactin (Milk Protein Concentrate), Peanut Flour, Natural Flavors.",210,60,7,3,0,null,null,20,70,25,4,8,12,0,4,4,10,null,null,1,bar,null,null,null,null,2014-11-24T20:24:24+00:00,null
Juicy Juice,"100% Juice, Apple",51db37d0176fe9790a899db2,51d2fb56cc9bff111580dbe0,28000275259,2,Apple,"Apple Juice from Concentrate (Water, Juice Concentrate), Ascorbic Acid (Vitamin C), Citric Acid.",110,0,0,null,null,null,null,null,20,28,null,26,0,0,120,0,0,null,6,8,fl oz,226,226,g,null,2014-11-24T20:24:24+00:00,null
Welch's,"Frozen Smoothie Kit, Blueberry Cherry Blend",51db37b0176fe9790a8983f2,5330427213fd415e0889de16,873668000473,2,null,null,80,10,1,0,0,null,null,5,70,16,2,11,2,2,25,6,2,null,2,0.5,bag,108,108,g,https://d1r9wva3zcpswd.cloudfront.net/536101f5ce96295343205994.jpeg,2014-11-24T20:24:24+00:00,null
Fair Oaks Farms,"Milk, Fat Free",51db37b6176fe9790a898944,51c3c01897c3e6d8d3b48c65,54960001034,2,Fat Free,"Fat Free Milk, Vitamin A Palmitate, Vitamin D3.",90,0,0,0,0,null,null,3,135,13,0,13,9,10,4,30,0,null,8,1,cup,null,null,null,null,2014-11-24T20:24:24+00:00,null
Ghirardelli Chocolate,Dark Melting Wafers,51db37c0176fe9790a89900f,54aa9fbe65bba1945977551c,747599617072,2,null,null,220,130,15,13,0,null,null,0,30,23,2,21,2,0,0,4,6,null,22,18,wafers,41,41,g,https://d1r9wva3zcpswd.cloudfront.net/54aaaa3bb87d30c344cdba83.jpeg,2015-01-05T15:14:04+00:00,null
Bumble Bee,"Red Salmon, Wild Alaska Sockeye",51db37be176fe9790a898ef5,51c3edfa97c3e6de73cbb58a,86600000640,2,Wild Alaska Sockeye,"Sockeye Salmon, Salt.",110,60,7,1,0,null,null,40,270,0,0,0,13,2,0,10,2,null,7,0.25,cup,63,63,g,null,2014-11-24T20:24:24+00:00,null
Gold Emblem,Luxury Wafers,51db37b2176fe9790a8984d7,54f5b660ba1c053b3fa802bd,50428450987,2,null,null,130,40,4.5,2,0,0.5,1,0,60,22,1,11,1,0,0,0,4,null,12,3,pieces,29,29,g,https://d1r9wva3zcpswd.cloudfront.net/54f5b7aea79a909a0a3e6fc1.jpeg,2015-03-03T13:31:27+00:00,null
Borden,"Punch, Pineapple Banana",51db37b5176fe9790a8988dd,51c401cc97c3e6dfa4df4099,70663001829,2,Pineapple Banana,"Water, High Fructose Corn Syrup, Citric Acid, Modified Food Starch, Xanthan Gum, Corn Oil, Sodium Citrate, Natural & Artificial Flavors, Ascorbic Acid (Vitamin C), Sodium Benzoate (Preservative), Yellow 5 & 6, EDTA (to Preserve Freshness).",130,0,0,0,0,null,null,0,90,32,0,30,0,0,100,0,0,null,16,1,cup,null,null,null,null,2014-11-24T20:24:24+00:00,null
Hormel,"Franks, Wranglers Coarse Ground Cheese Smoked",51db37b6176fe9790a89899b,51c5435b97c3e6efadd5ce99,37600374576,2,Wranglers Coarse Ground Cheese Smoked,"Pork, Pasteurized Process Cheddar Cheese (Cheddar Cheese [Pasteurized Cultured Milk, Salt, Enzymes], Milkfat, Sodium Citrate, Sodium Phosphates, Salt, Sorbic Acid [Preservative], Artificial Color, Potassium Sorbate and Natamycin [Preservatives]), Beef, Salt, Potassium Lactate, Corn Syrup, Modified Food Starch, Dextrose, Flavoring, Sodium Diacetate, Ascorbate (Vitamin C), Sodium Nitrite, Oleoresin of Paprika.",170,130,15,6,null,null,null,35,610,1,0,1,7,0,15,4,2,null,8,0,G,null,null,null,null,2014-11-24T20:24:24+00:00,null
Meijer Organics,Extra Virgin Olive Oil,51db37b3176fe9790a8986e1,54f52a118001e26807e3e59f,708820519015,2,null,null,120,120,14,2,0,2,10,0,0,0,null,null,0,null,null,null,null,null,33,1,tbsp,null,15,ml,https://d1r9wva3zcpswd.cloudfront.net/54f52aa78a2763d7523d8684.jpeg,2015-03-03T03:29:44+00:00,null
Truitt Brothers,Garbanzo Beans,51db37e1176fe9790a89a373,51c4058897c3e6dfa4df5ba6,82225241758,2,null,"Garbanzo Beans, Water and Sea Salt.",120,20,2,0,0,null,null,0,135,21,6,4,7,0,2,4,10,null,4,0.5,cup,130,130,g,null,2014-11-24T20:24:24+00:00,null
Monster,"Energy Drink, Absolutely Zero",51db37c9176fe9790a89966f,5596d1f1693d7e7a0196f266,49470000,2,null,null,0,0,0,null,null,null,null,null,190,2,null,0,0,null,null,null,null,null,2,8,fl oz,null,240,ml,https://d1r9wva3zcpswd.cloudfront.net/5596d1f7b68f3948259e76ee.jpeg,2015-07-03T18:18:32+00:00,null
