brand_name,item_name,brand_id,item_id,upc,item_type,item_description,nf_ingredient_statement,nf_calories,nf_calories_from_fat,nf_total_fat,nf_saturated_fat,nf_trans_fatty_acid,nf_polyunsaturated_fat,nf_monounsaturated_fat,nf_cholesterol,nf_sodium,nf_total_carbohydrate,nf_dietary_fiber,nf_sugars,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_potassium,nf_servings_per_container,nf_serving_size_qty,nf_serving_size_unit,nf_serving_weight_grams,metric_qty,metric_uom,images_front_full_url,updated_at,section_ids
Tom Sturgis,"Pretzels, Sourdough Hard",51db3800176fe9790a89adf1,51c3d71097c3e6d8d3b542ad,70104999777,2,Sourdough Hard,"Unbleached Wheat Flour, Water, Salt, Yeast, Soda.",140,0,0,0,0,null,null,0,240,18,0,0,2,0,0,0,0,null,11,1,pretzel,31,31,g,null,2014-11-24T20:24:24+00:00,null
O Organics,"Macaroni and Cheese Dinner, Organic, Three Cheese",51db37b1176fe9790a898469,51c3f93097c3e6dfa4df012e,79893406978,2,"Organic, Three Cheese","Organic Semolina Flour (Durum Wheat), Water, Organic Whole Milk (Grade A Milk, Vitamin D3), Organic White Cheddar Cheese (Pasteurized Grade A Milk, Salt, Cheese Culture, Non-Animal Rennet), Organic Pasteurized Eggs, Organic Unsalted Butter (Grade A Pasteurized Sweet Cream, Lactic Acid), Organic Mozzarella Cheese (Cultured Pasteurized Whole Milk, and Skim Milk, Salt, Microbial Enzymes), Organic Natural Corn Starch, Sea Salt, Organic Wheat Gluten, Natural Organic Cheese Flavor, Organic Parmesan Cheese (Cultured Part Skim Milk, Salt, Enzymes), Organic Black Pepper, Organic Cayenne Pepper, Organic Natural Annatto, Organic Onion Powder.",310,60,7,4,0,null,null,35,460,49,3,3,12,4,0,21,15,null,4,5,oz,142,142,g,null,2014-11-24T20:24:24+00:00,null
Pereg,"Couscous, Tomato & Herbs",51db37c6176fe9790a899414,51c400a697c3e6dfa4df37e8,13568001877,2,Tomato & Herbs,"All Natural: Couscous, Diced Tomatoes, Herbs, Spices & Onions.",130,15,2,0,0,null,null,0,10,24,2,1,5,10,8,2,4,null,3,0.33,cup,53,53,g,null,2014-11-24T20:24:24+00:00,null
Chompie's,"NY Plain Bagels, Mini",51db37c5176fe9790a8993aa,560d2b01b1050e7102471bf2,96784102511,2,null,null,110,0,0,0,0,null,null,0,210,23,1,2,4,0,0,4,8,null,12,1,bagel,43,43,g,https://d1r9wva3zcpswd.cloudfront.net/560d2d6d5ad577cc23904ac1.jpeg,2015-10-01T12:56:13+00:00,null
Smart Ones,Classic Favorites Mini Rigatoni with Vodka Cream Sauce,51db37f0176fe9790a89a99d,51c36b3a97c3e69de4b0788f,25800020249,2,null,"Cooked Enriched Macaroni Product (Water, Enriched Semolina (Semolina, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Whole Wheat Flour), Vodka Cream Sauce (Water, Tomatoes [Tomatoes, Tomato Juice, Calcium Chloride, Citric Acid], Tomato Puree [Tomato Paste, Water], Cream [Cream, Milk, Carrageenan], Vodka [Vodka, Salt], Onions, Romano Cheese [Cow's Milk, Cheese Cultures, Salt, Enzymes], Cheese Flavor [Water, Lipolyzed Cream, Butterfat, Salt, Flavoring], Whey Protein Concentrate, Parmesan Cheese [Part Skim Milk, Cheese Cultures, Salt, Enzymes], Olive Oil, Sugar, Modified Cornstarch, Granulated Garlic, Spices, Garlic in Oil [Garlic, Soybean Oil, Citric Acid], Salt, Xanthan Gum, Flavor [Potassium Chloride, Ammonium Chloride, Yeast Extract, Maltodextrin (Corn), Lactic Acid, Citric Acid, Calcium Lactate, Natural Flavor], Lactic Acid, Onion Concentrate [Sauteed Onions, Butter, Salt, Sugar, Onion Powder, Natural Flavor], Tomato Flavor [Medium Chain Triglycerides, Flavor, Soybean Oil], Black Pepper), Reduced Fat Mozzarella Cheese (Part Skim Milk, Cultures, Salt, Vitamin A Palmitate, Enzymes), Water, Carrageenan.",280,50,6,2.5,0,1,1.5,10,450,46,4,6,12,15,6,20,10,null,1,1,package,255,255,g,https://d1r9wva3zcpswd.cloudfront.net/53600a5a2ae36a5775c09c4e.jpeg,2014-11-24T20:24:24+00:00,null
Laura Scudder's,"Dip, Toasted Onion, with Shallots",51db37c9176fe9790a89970c,51c3615c97c3e69de4b02998,15500201208,2,"Toasted Onion, with Shallots","Sour Cream (Cultured Milk, Cream, Nonfat Milk Powder, Gelatin), Toasted Onion Flavor Mix (Toasted Onion, Salt, Sugar, Guar Gum, Caramel Color, Monosodium Glutamate, Partially Hydrogenated Soybean Oil & Cottonseed Oil, Tricalcium Phosphate), Onion, Shallot, Parsley, Sodium Benzoate, Potassium Sorbate.",60,40,4,3,null,null,null,15,150,2,0,1,1,2,0,0,0,null,11,2,tbsp,30,30,g,null,2014-11-24T20:24:24+00:00,null
Martin's,Potato Rolls,51db37c6176fe9790a899402,55677432ff548c1b685ac92b,7564444,2,null,null,130,10,1.5,0,0,0,0,0,180,24,2,5,7,0,0,20,10,null,8,1,roll,53,53,g,https://d1r9wva3zcpswd.cloudfront.net/5567736337081fb05bbe76a8.jpeg,2015-05-28T19:58:28+00:00,null
Yamamotoyama,Yaki Nori Roasted Seaweed,51db37cf176fe9790a899cdc,51c53ea697c3e6efadd5a958,11152250830,2,Toasted Seaweed,Ingredients: Seaweed,10,0,0,0,0,null,null,0,20,1,0,0,1,20,0,0,2,null,10,1,sheet,3,2.5,g,https://d1r9wva3zcpswd.cloudfront.net/54072e8c7f1cfd9d3a07a927.jpeg,2014-11-24T20:24:24+00:00,null
Hungry Jack,Redskin & Gold Mashed Potatoes,51db37b9176fe9790a898b66,542ada06bb5a9a3d2cbe2280,11140871054,2,null,null,90,0,0,0,0,null,null,0,20,19,2,0.5,2,0,15,0,2,160,15,24,g dry,24,24,g,https://d1r9wva3zcpswd.cloudfront.net/542adb5cfd57000f19b350fb.jpeg,2014-11-24T20:24:24+00:00,null
Smart Cuisine,Meatloaf & Meatball Mix,54dc45874411e9fd3e66b782,54dc45a0570111b44b848a6b,94922386908,2,null,null,330,250,28,11,null,null,null,80,60,0,null,null,18,null,null,null,6,null,5,4,oz,112,112,g,https://d1r9wva3zcpswd.cloudfront.net/54de69985f7c2fb71a703b26.jpeg,2015-02-13T21:16:08+00:00,null
